Sala;Nombre;Buy in;Num_multip;Total casos;Multiplicador1;Multiplicador2;Multiplicador3;Multiplicador4;Multiplicador5;Multiplicador6;Multiplicador7;Multiplicador8;Frecuencia1;Frecuencia2;Frecuencia3;Frecuencia4;Frecuencia5;Frecuencia6;Frecuencia7;Frecuencia8;Premio1a%;Premio1b%;Premio1c%;Premio2a%;Premio2b%;Premio2c%;Premio3a%;Premio3b%;Premio3c%;Premio4a%;Premio4b%;Premio4c%;Premio5a%;Premio5b%;Premio5c%;Premio6a%;Premio6b%;Premio6c%;Premio7a%;Premio7b%;Premio7c%;Premio8a%;Premio8b%;Premio8c%;Premio1a;Premio1b;Premio1c;Premio2a;Premio2b;Premio2c;Premio3a;Premio3b;Premio3c;Premio4a;Premio4b;Premio4c;Premio5a;Premio5b;Premio5c;Premio6a;Premio6b;Premio6c;Premio7a;Premio7b;Premio7c;Premio8a;Premio8b;Premio8c;Comisión$;Comisión%;Total;Comisión%calc
3;1;1;8;1000000;10000;1000;100;25;10;5;3;2;2;10;100;1000;20000;105000;252224;621664;0.8;0.1;0.1;0.8;0.1;0.1;0.8;0.1;0.1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;8000;1000;1000;800;100;100;80;10;10;25;0;0;10;0;0;5;0;0;3;0;0;2;0;0;0.07;0.07;2.79;0.07
3;2;2;8;1000000;10000;1000;100;25;10;5;3;2;2;10;100;1000;20000;105000;252224;621664;0.8;0.1;0.1;0.8;0.1;0.1;0.8;0.1;0.1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;16000;2000;2000;1600;200;200;160;20;20;50;0;0;20;0;0;10;0;0;6;0;0;4;0;0;0.14;0.07;5.58;0.07
3;5_1M;5;8;1000000;240000;240;120;25;10;5;3;2;1;30;75;1000;5000;85000;216012;692882;0.833;0.083;0.083;0.833;0.083;0.083;0.833;0.083;0.083;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1000000;100000;100000;1000;100;100;500;50;50;125;0;0;50;0;0;25;0;0;15;0;0;10;0;0;0.35;0.07;13.95;0.0700000000000001
3;10;10;8;1000000;10000;1000;100;25;10;5;3;2;2;10;100;1000;20000;105000;252224;621664;0.8;0.1;0.1;0.8;0.1;0.1;0.8;0.1;0.1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;80000;10000;10000;8000;1000;1000;800;100;100;250;0;0;100;0;0;50;0;0;30;0;0;20;0;0;0.7;0.07;27.9;0.0700000000000001
3;20;20;8;1000000;10000;1000;100;25;10;5;3;2;2;10;100;1000;20000;105000;252224;621664;0.8;0.1;0.1;0.8;0.1;0.1;0.8;0.1;0.1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;160000;20000;20000;16000;2000;2000;1600;200;200;500;0;0;200;0;0;100;0;0;60;0;0;40;0;0;1.4;0.07;55.8;0.0700000000000001
3;50;50;8;1000000;10000;1000;100;25;10;5;3;2;2;10;100;1000;20000;110000;252224;616664;0.8;0.1;0.1;0.8;0.1;0.1;0.8;0.1;0.1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;400000;50000;50000;40000;5000;5000;4000;500;500;1250;0;0;500;0;0;250;0;0;150;0;0;100;0;0;3.25;0.065;140.25;0.065
3;100;100;8;1000000;10000;1000;100;25;10;5;3;2;2;10;100;1000;20000;110000;252224;616664;0.8;0.1;0.1;0.8;0.1;0.1;0.8;0.1;0.1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;800000;100000;100000;80000;10000;10000;8000;1000;1000;2500;0;0;1000;0;0;500;0;0;300;0;0;200;0;0;6.5;0.065;280.5;0.065
