Sala;Nombre;Buy in;Num_multip;Total casos;Multiplicador1;Multiplicador2;Multiplicador3;Multiplicador4;Multiplicador5;Multiplicador6;Multiplicador7;Multiplicador8;Multiplicador9;Frecuencia1;Frecuencia2;Frecuencia3;Frecuencia4;Frecuencia5;Frecuencia6;Frecuencia7;Frecuencia8;Frecuencia9;Premio1a%;Premio1b%;Premio1c%;Premio2a%;Premio2b%;Premio2c%;Premio3a%;Premio3b%;Premio3c%;Premio4a%;Premio4b%;Premio4c%;Premio5a%;Premio5b%;Premio5c%;Premio6a%;Premio6b%;Premio6c%;Premio7a%;Premio7b%;Premio7c%;Premio8a%;Premio8b%;Premio8c%;Premio9a%;Premio9b%;Premio9c%;Premio1a;Premio1b;Premio1c;Premio2a;Premio2b;Premio2c;Premio3a;Premio3b;Premio3c;Premio4a;Premio4b;Premio4c;Premio5a;Premio5b;Premio5c;Premio6a;Premio6b;Premio6c;Premio7a;Premio7b;Premio7c;Premio8a;Premio8b;Premio8c;Premio9a;Premio9b;Premio9c;Comisión$;Comisión%;Total;Comisión%calc
5;1;1;9;100000;1000;200;100;50;10;5;4;3;2;2;10;20;50;500;3000;15000;27664;53754;0.800;0.100;0.100;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;800;100;100;200;0;0;100;0;0;50;0;0;10;0;0;5;0;0;4;0;0;3;0;0;2;0;0;0.07;0.07;2.79;0.07
5;2;2;9;100000;1000;200;100;50;10;5;4;3;2;2;10;20;50;500;3000;15000;27664;53754;0.800;0.100;0.100;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1600;200;200;400;0;0;200;0;0;100;0;0;20;0;0;10;0;0;8;0;0;6;0;0;4;0;0;0.14;0.07;5.58;0.07
5;5;5;9;100000;1000;200;100;50;10;5;4;3;2;2;10;20;50;500;3000;15000;27664;53754;0.800;0.100;0.100;0.800;0.100;0.100;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;4000;500;500;800;100;100;500;0;0;250;0;0;50;0;0;25;0;0;20;0;0;15;0;0;10;0;0;0.35;0.07;13.95;0.0700000000000001
5;10;10;9;100000;1000;200;100;50;10;5;4;3;2;2;10;20;50;500;3000;15000;27664;53754;0.800;0.100;0.100;0.800;0.100;0.100;0.800;0.100;0.100;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;8000;1000;1000;1600;200;200;800;100;100;500;0;0;100;0;0;50;0;0;40;0;0;30;0;0;20;0;0;0.7;0.07;27.9;0.0700000000000001
5;20;20;9;100000;1000;200;100;50;10;5;4;3;2;2;10;20;50;500;3000;15000;27664;53754;0.800;0.100;0.100;0.800;0.100;0.100;0.800;0.100;0.100;0.800;0.100;0.100;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;16000;2000;2000;3200;400;400;1600;200;200;800;100;100;200;0;0;100;0;0;80;0;0;60;0;0;40;0;0;1.4;0.07;55.8;0.0700000000000001
5;50;50;9;100000;1000;200;100;50;10;5;4;3;2;2;10;20;50;500;3000;15000;27664;53754;0.800;0.100;0.100;0.800;0.100;0.100;0.800;0.100;0.100;0.800;0.100;0.100;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;40000;5000;5000;8000;1000;1000;4000;500;500;2000;250;250;500;0;0;250;0;0;200;0;0;150;0;0;100;0;0;3.5;0.07;139.5;0.07
5;100;100;9;100000;1000;200;100;50;10;5;4;3;2;2;10;20;50;500;3000;15000;27664;53754;0.800;0.100;0.100;0.800;0.100;0.100;0.800;0.100;0.100;0.800;0.100;0.100;0.800;0.100;0.100;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;80000;10000;10000;16000;2000;2000;8000;1000;1000;4000;500;500;800;100;100;500;0;0;400;0;0;300;0;0;200;0;0;7;0.07;279;0.07
5;200;200;9;100000;2500;100;50;25;10;5;4;3;2;1;5;15;75;750;4000;13412;31743;49999;0.800;0.100;0.100;0.800;0.100;0.100;0.800;0.100;0.100;0.800;0.100;0.100;0.800;0.100;0.100;0.800;0.100;0.100;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;400000;50000;50000;16000;2000;2000;8000;1000;1000;4000;500;500;1600;200;200;800;100;100;800;0;0;600;0;0;400;0;0;12;0.06;564;0.06
